"Date","Price","Open","High","Low","Vol.","Change %"
"12/07/2018","14,013.65","14,056.50","14,105.85","13,800.45","74.63K","0.17%"
"12/06/2018","13,989.85","14,216.15","14,216.15","13,958.10","54.89K","-2.13%"
"12/05/2018","14,294.25","14,273.55","14,370.05","14,178.20","61.66K","-0.45%"
"12/04/2018","14,359.10","14,325.80","14,383.80","14,225.80","64.40K","0.18%"
"12/03/2018","14,333.75","14,376.35","14,410.25","14,250.95","93.55K","0.07%"
"11/30/2018","14,323.95","14,414.35","14,493.50","14,246.15","134.57K","-0.31%"
"11/29/2018","14,367.90","14,378.95","14,481.70","14,328.25","143.81K","0.72%"
"11/28/2018","14,264.75","14,226.90","14,347.35","14,121.95","85.52K","0.56%"
"11/27/2018","14,185.60","13,983.05","14,201.55","13,958.30","68.83K","1.30%"
"11/26/2018","14,003.60","14,094.70","14,141.20","13,862.05","70.79K","0.18%"
"11/22/2018","13,978.65","14,151.45","14,224.60","13,947.25","47.73K","-1.03%"
"11/21/2018","14,124.35","14,414.35","14,480.15","14,098.05","73.15K","-1.46%"
"11/20/2018","14,333.70","14,450.60","14,551.45","14,281.65","59.76K","-0.92%"
"11/19/2018","14,466.45","14,352.85","14,481.00","14,325.60","54.52K","1.07%"
"11/16/2018","14,312.60","14,113.80","14,356.95","14,056.85","57.52K","1.29%"
"11/15/2018","14,130.60","14,159.20","14,190.35","14,041.80","53.18K","-0.21%"
"11/14/2018","14,160.75","14,201.05","14,337.75","14,078.80","118.54K","0.49%"
"11/13/2018","14,091.05","13,826.80","14,117.10","13,798.75","69.84K","1.75%"
"11/12/2018","13,849.30","14,102.70","14,108.80","13,810.15","53.17K","-1.60%"
"11/09/2018","14,074.60","14,178.05","14,226.25","14,000.65","69.70K","-0.54%"
"11/07/2018","14,151.00","14,217.75","14,217.75","14,148.90","0.42K","0.48%"
"11/06/2018","14,082.80","14,043.30","14,152.85","13,970.00","59.36K","0.69%"
"11/05/2018","13,985.75","14,027.90","14,027.90","13,802.60","76.87K","-0.14%"
"11/02/2018","14,005.30","13,901.75","14,048.25","13,870.20","102.01K","1.91%"
"11/01/2018","13,742.40","13,836.15","13,837.00","13,672.70","61.28K","-0.08%"
"10/31/2018","13,753.35","13,692.55","13,777.25","13,518.05","71.69K","0.68%"
"10/30/2018","13,660.50","13,930.00","13,931.25","13,634.15","69.08K","-2.18%"
"10/29/2018","13,965.20","13,552.90","14,017.20","13,525.00","94.13K","3.26%"
"10/26/2018","13,523.70","13,478.55","13,650.35","13,334.80","66.35K","0.24%"
"10/25/2018","13,491.35","13,523.60","13,595.05","13,358.25","203.75K","-1.04%"
"10/24/2018","13,632.65","13,851.55","13,865.60","13,460.25","96.20K","0.15%"
"10/23/2018","13,611.85","13,550.25","13,698.50","13,423.25","67.28K","-0.36%"
"10/22/2018","13,661.55","14,117.80","14,155.65","13,608.90","57.72K","-2.52%"
"10/19/2018","14,014.05","14,037.55","14,090.35","13,828.55","93.26K","-2.72%"
"10/17/2018","14,405.50","14,746.05","14,750.65","14,335.95","64.59K","-1.31%"
"10/16/2018","14,596.95","14,428.95","14,622.45","14,379.35","70.14K","1.63%"
"10/15/2018","14,363.15","14,291.80","14,397.85","14,167.00","74.48K","0.84%"
"10/12/2018","14,243.05","14,005.75","14,270.10","13,987.25","106.87K","3.24%"
"10/11/2018","13,796.55","13,403.70","14,059.95","13,254.25","146.69K","0.12%"
"10/10/2018","13,779.35","13,627.40","13,861.95","13,560.90","71.24K","1.38%"
"10/09/2018","13,591.35","13,946.70","13,961.30","13,526.75","75.50K","-1.71%"
"10/08/2018","13,828.15","13,317.80","13,892.50","13,104.00","154.83K","4.14%"
"10/05/2018","13,278.00","13,979.00","13,979.00","13,170.45","324.11K","-7.97%"
"10/04/2018","14,427.80","15,209.50","15,209.50","14,120.05","97.90K","-6.14%"
"10/03/2018","15,371.05","15,469.30","15,576.60","15,326.50","60.29K","-1.09%"
"10/01/2018","15,539.75","15,711.90","15,715.50","15,214.05","48.94K","-1.00%"
"09/28/2018","15,697.20","15,772.95","15,867.85","15,576.45","70.27K","0.01%"
"09/27/2018","15,694.95","15,746.05","15,825.45","15,581.60","64.79K","-0.06%"
"09/26/2018","15,703.90","15,671.05","15,735.40","15,475.25","46.01K","1.05%"
"09/25/2018","15,540.60","15,596.40","15,677.00","15,192.65","62.59K","-0.31%"
"09/24/2018","15,588.55","15,544.70","15,712.95","15,446.45","66.50K","0.09%"
"09/21/2018","15,575.30","15,567.50","15,761.15","15,197.45","109.13K","0.76%"
"09/19/2018","15,458.45","15,529.75","15,574.65","15,399.30","63.53K","-0.01%"
"09/18/2018","15,460.20","15,624.70","15,716.75","15,436.40","49.13K","-0.95%"
"09/17/2018","15,609.05","15,736.75","15,739.25","15,565.70","60.68K","-1.16%"
"09/14/2018","15,791.90","15,701.70","15,864.60","15,674.90","68.39K","1.22%"
"09/12/2018","15,601.05","15,576.80","15,634.30","15,351.45","62.25K","0.80%"
"09/11/2018","15,477.45","15,712.65","15,791.65","15,449.60","69.64K","-1.27%"
"09/10/2018","15,675.80","15,888.90","15,889.95","15,638.35","47.27K","-1.64%"
"09/07/2018","15,937.40","15,865.60","15,967.85","15,719.85","47.20K","0.85%"
"09/06/2018","15,803.45","15,522.65","15,840.35","15,479.70","62.60K","2.05%"
"09/05/2018","15,486.55","15,581.95","15,682.25","15,307.25","53.68K","-0.65%"
"09/04/2018","15,587.95","15,643.60","15,756.35","15,545.60","44.00K","-0.07%"
"09/03/2018","15,598.60","15,831.35","15,877.05","15,574.65","52.15K","-1.04%"
"08/31/2018","15,763.00","15,909.75","15,915.70","15,674.55","77.60K","-1.24%"
"08/30/2018","15,960.60","16,049.60","16,077.50","15,900.55","99.12K","-0.62%"
"08/29/2018","16,059.95","16,241.25","16,360.50","16,026.55","50.91K","-1.12%"
"08/28/2018","16,241.65","16,126.55","16,348.85","16,119.20","58.78K","0.99%"
"08/27/2018","16,082.70","15,914.10","16,112.55","15,908.85","41.20K","1.31%"
