"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2017","3,940.15","3,974.50","3,985.50","3,916.05","58.85M","-0.50%"
"12/28/2017","3,959.95","3,894.15","3,976.30","3,894.15","145.02M","2.08%"
"12/27/2017","3,879.40","3,890.70","3,909.10","3,855.10","92.67M","-0.16%"
"12/26/2017","3,885.80","3,858.45","3,891.95","3,853.80","85.31M","1.21%"
"12/22/2017","3,839.30","3,850.45","3,852.35","3,818.35","56.96M","-0.01%"
"12/21/2017","3,839.85","3,821.20","3,846.40","3,813.60","67.04M","0.88%"
"12/20/2017","3,806.40","3,803.80","3,832.75","3,763.95","92.72M","0.66%"
"12/19/2017","3,781.30","3,752.80","3,789.60","3,745.00","68.63M","1.46%"
"12/18/2017","3,726.90","3,638.75","3,778.60","3,552.80","84.88M","1.66%"
"12/15/2017","3,665.90","3,625.40","3,672.90","3,622.85","70.78M","2.66%"
"12/14/2017","3,570.95","3,579.35","3,590.30","3,526.30","48.98M","0.21%"
"12/13/2017","3,563.30","3,624.90","3,626.90","3,542.50","62.48M","-1.55%"
"12/12/2017","3,619.30","3,649.70","3,699.10","3,613.25","48.37M","-0.83%"
"12/11/2017","3,649.75","3,656.55","3,669.45","3,620.60","41.90M","0.17%"
"12/08/2017","3,643.50","3,617.30","3,680.70","3,607.80","75.79M","1.35%"
"12/07/2017","3,594.90","3,538.30","3,601.50","3,530.45","47.46M","1.82%"
"12/06/2017","3,530.75","3,556.85","3,559.30","3,521.45","59.47M","-1.95%"
"12/05/2017","3,601.15","3,622.85","3,623.90","3,571.80","52.70M","-0.82%"
"12/04/2017","3,630.75","3,637.95","3,661.65","3,606.30","50.08M","0.36%"
"12/01/2017","3,617.90","3,693.30","3,700.55","3,610.50","79.20M","-1.64%"
"11/30/2017","3,678.35","3,701.60","3,718.65","3,668.60","92.54M","-1.17%"
"11/29/2017","3,721.90","3,743.45","3,756.80","3,712.20","57.46M","-0.37%"
"11/28/2017","3,735.85","3,738.40","3,778.45","3,718.40","85.73M","-0.10%"
"11/27/2017","3,739.75","3,752.95","3,765.90","3,723.85","42.94M","-0.69%"
"11/24/2017","3,765.90","3,790.05","3,790.15","3,752.65","37.46M","-0.57%"
"11/23/2017","3,787.40","3,800.40","3,830.95","3,749.15","55.41M","-0.26%"
"11/22/2017","3,797.25","3,840.00","3,845.10","3,785.25","43.39M","-0.66%"
"11/21/2017","3,822.40","3,837.15","3,855.05","3,803.05","69.32M","0.13%"
"11/20/2017","3,817.25","3,767.20","3,824.30","3,727.95","71.05M","1.31%"
"11/17/2017","3,767.85","3,735.20","3,801.85","3,734.80","69.13M","1.89%"
"11/16/2017","3,697.85","3,679.55","3,708.65","3,647.60","58.34M","1.01%"
"11/15/2017","3,660.95","3,750.30","3,750.35","3,641.25","71.35M","-2.96%"
"11/14/2017","3,772.75","3,790.25","3,821.10","3,766.10","50.87M","-0.52%"
"11/13/2017","3,792.50","3,855.55","3,860.30","3,785.05","69.74M","-1.89%"
"11/10/2017","3,865.70","3,839.40","3,893.55","3,814.80","74.55M","0.41%"
"11/09/2017","3,849.75","3,857.80","3,871.00","3,802.55","63.25M","0.46%"
"11/08/2017","3,832.00","3,890.90","3,910.35","3,806.20","84.13M","-1.38%"
"11/07/2017","3,885.55","3,977.60","3,979.95","3,863.80","105.95M","-1.68%"
"11/06/2017","3,951.75","3,926.30","3,972.60","3,892.70","127.84M","0.34%"
"11/03/2017","3,938.40","3,969.10","3,979.75","3,917.60","106.85M","-0.07%"
"11/02/2017","3,941.00","3,950.60","3,950.95","3,909.45","93.56M","-0.14%"
"11/01/2017","3,946.40","3,913.35","3,952.95","3,901.05","97.13M","1.80%"
"10/31/2017","3,876.55","3,941.00","3,951.20","3,853.70","79.76M","-1.71%"
"10/30/2017","3,944.05","3,959.00","3,984.55","3,936.00","59.87M","-0.03%"
"10/27/2017","3,945.30","3,974.35","3,982.45","3,930.90","118.64M","-0.17%"
"10/26/2017","3,951.95","3,882.35","3,960.20","3,875.40","144.81M","2.05%"
"10/25/2017","3,872.55","3,887.80","3,897.35","3,825.45","75.22M","0.37%"
"10/24/2017","3,858.30","3,848.95","3,904.50","3,844.85","65.14M","0.39%"
"10/23/2017","3,843.20","3,830.70","3,871.70","3,823.05","68.34M","0.61%"
"10/19/2017","3,819.90","3,853.90","3,854.00","3,808.05","10.66M","-0.88%"
"10/18/2017","3,853.70","3,877.75","3,885.00","3,842.85","52.54M","-0.37%"
"10/17/2017","3,868.15","3,861.55","3,875.35","3,835.90","60.79M","0.33%"
"10/16/2017","3,855.45","3,804.75","3,860.25","3,804.15","70.77M","1.87%"
"10/13/2017","3,784.55","3,759.90","3,808.10","3,753.60","76.37M","1.15%"
"10/12/2017","3,741.45","3,681.25","3,748.65","3,661.05","99.01M","1.99%"
"10/11/2017","3,668.45","3,737.05","3,750.60","3,637.35","77.72M","-1.43%"
"10/10/2017","3,721.55","3,737.75","3,749.50","3,691.55","54.64M","0.10%"
"10/09/2017","3,717.85","3,713.85","3,747.90","3,698.75","57.41M","0.17%"
"10/06/2017","3,711.50","3,614.85","3,719.20","3,614.40","75.20M","3.14%"
"10/05/2017","3,598.40","3,590.85","3,616.00","3,584.35","35.60M","0.29%"
"10/04/2017","3,588.10","3,592.35","3,601.55","3,572.90","38.16M","-0.15%"
"10/03/2017","3,593.60","3,586.80","3,610.25","3,564.60","50.61M","1.22%"
"09/29/2017","3,550.30","3,525.35","3,569.95","3,520.80","51.13M","1.39%"
"09/28/2017","3,501.55","3,483.60","3,523.90","3,457.55","82.69M","0.70%"
"09/27/2017","3,477.20","3,548.25","3,549.45","3,453.05","53.14M","-1.58%"
"09/26/2017","3,533.05","3,459.60","3,541.00","3,447.60","52.98M","2.40%"
"09/25/2017","3,450.10","3,494.80","3,500.85","3,366.15","68.68M","-1.19%"
"09/22/2017","3,491.80","3,618.90","3,618.90","3,479.00","75.81M","-4.04%"
"09/21/2017","3,638.80","3,669.60","3,679.25","3,579.70","55.70M","-0.59%"
"09/20/2017","3,660.55","3,670.65","3,688.25","3,642.05","60.48M","-0.07%"
