"Date","Price","Open","High","Low","Vol.","Change %"
"09-11-2011","3,942.32","3,942.32","3,942.32","3,942.32","","-1.94%"
"08-11-2011","4,020.11","4,020.11","4,020.11","4,020.11","","0.02%"
"04-11-2011","4,019.35","4,019.35","4,019.35","4,019.35","","0.49%"
"03-11-2011","3,999.66","3,999.66","3,999.66","3,999.66","","0.00%"
"02-11-2011","3,999.68","3,999.68","3,999.68","3,999.68","","-0.38%"
"01-11-2011","4,014.75","4,014.75","4,014.75","4,014.75","","-1.52%"
"31-10-2011","4,076.53","4,076.53","4,076.53","4,076.53","","0.28%"
"28-10-2011","4,065.23","4,065.23","4,065.23","4,065.23","","3.83%"
"26-10-2011","3,915.39","3,915.39","3,915.39","3,915.39","","0.18%"
"25-10-2011","3,908.40","3,908.40","3,908.40","3,908.40","","0.16%"
"24-10-2011","3,902.21","3,902.21","3,902.21","3,902.21","","0.02%"
"21-10-2011","3,901.37","3,901.37","3,901.37","3,901.37","","-0.79%"
"20-10-2011","3,932.60","3,932.60","3,932.60","3,932.60","","-1.75%"
"19-10-2011","4,002.49","4,002.49","4,002.49","4,002.49","","2.23%"
"18-10-2011","3,915.08","3,915.08","3,915.08","3,915.08","","-1.15%"
"17-10-2011","3,960.66","3,960.66","3,960.66","3,960.66","","0.64%"
"14-10-2011","3,935.64","3,935.64","3,935.64","3,935.64","","0.67%"
"13-10-2011","3,909.40","3,909.40","3,909.40","3,909.40","","0.43%"
"12-10-2011","3,892.81","3,892.81","3,892.81","3,892.81","","2.70%"
"11-10-2011","3,790.43","3,790.43","3,790.43","3,790.43","","0.31%"
"10-10-2011","3,778.73","3,778.73","3,778.73","3,778.73","","1.87%"
"07-10-2011","3,709.48","3,709.48","3,709.48","3,709.48","","3.76%"
"05-10-2011","3,575.07","3,575.07","3,575.07","3,575.07","","-1.70%"
"04-10-2011","3,636.93","3,636.93","3,636.93","3,636.93","","-2.68%"
"03-10-2011","3,736.98","3,736.98","3,736.98","3,736.98","","-2.52%"
"30-09-2011","3,833.46","3,833.46","3,833.46","3,833.46","","-1.84%"
"29-09-2011","3,905.35","3,905.35","3,905.35","3,905.35","","1.68%"
"28-09-2011","3,840.74","3,840.74","3,840.74","3,840.74","","-1.10%"
"27-09-2011","3,883.30","3,883.30","3,883.30","3,883.30","","2.57%"
"26-09-2011","3,785.89","3,785.89","3,785.89","3,785.89","","-0.21%"
"23-09-2011","3,793.80","3,793.80","3,793.80","3,793.80","","-1.89%"
"22-09-2011","3,867.06","3,867.06","3,867.06","3,867.06","","-4.36%"
"21-09-2011","4,043.22","4,043.22","4,043.22","4,043.22","","0.77%"
"20-09-2011","4,012.22","4,012.22","4,012.22","4,012.22","","2.51%"
"19-09-2011","3,914.11","3,914.11","3,914.11","3,914.11","","-1.29%"
"16-09-2011","3,965.12","3,965.12","3,965.12","3,965.12","","2.83%"
"15-09-2011","3,855.98","3,855.98","3,855.98","3,855.98","","1.08%"
"14-09-2011","3,814.82","3,814.82","3,814.82","3,814.82","","-0.57%"
"13-09-2011","3,836.64","3,836.64","3,836.64","3,836.64","","-2.69%"
"12-09-2011","3,942.52","3,942.52","3,942.52","3,942.52","","-1.89%"
"09-09-2011","4,018.36","4,018.36","4,018.36","4,018.36","","0.00%"
"08-09-2011","4,018.36","4,018.36","4,018.36","4,018.36","","0.19%"
"07-09-2011","4,010.68","4,010.68","4,010.68","4,010.68","","1.83%"
"06-09-2011","3,938.64","3,938.64","3,938.64","3,938.64","","0.66%"
"05-09-2011","3,912.77","3,912.77","3,912.77","3,912.77","","-0.11%"
"02-09-2011","3,917.11","3,917.11","3,917.11","3,917.11","","0.60%"
"30-08-2011","3,893.85","3,893.85","3,893.85","3,893.85","","2.31%"
"29-08-2011","3,806.01","3,806.01","3,806.01","3,806.01","","4.13%"
"26-08-2011","3,655.23","3,655.23","3,655.23","3,655.23","","-1.95%"
"25-08-2011","3,727.96","3,727.96","3,727.96","3,727.96","","-1.96%"
